time,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,measured_left_hip_yaw,measured_left_hip_roll,measured_left_hip_pitch,measured_left_knee,measured_left_ankle,measured_neck_pitch,measured_head_pitch,measured_head_yaw,measured_head_roll,measured_right_hip_yaw,measured_right_hip_roll,measured_right_hip_pitch,measured_right_knee,measured_right_ankle,trunk_z_m
0.0,0.120735,-0.225002,-0.409562,-0.07234,0.427741,0.341289,0.290063,0.025224,-0.021936,0.096163,0.197252,0.463874,0.143218,-0.521873,0.106921,-0.080852,-0.412018,0.047271,0.397344,0.342027,0.352295,0.024006,-0.019006,0.100581,0.093983,0.497041,-0.04111,-0.474001,0.115756
0.02,0.120771,-0.227115,-0.408714,-0.072863,0.429388,0.340372,0.288587,0.02589,-0.022255,0.096774,0.197931,0.466166,0.140416,-0.517882,0.106944,-0.080857,-0.411964,0.047145,0.397416,0.34215,0.352278,0.024012,-0.019004,0.10059,0.093837,0.497013,-0.041121,-0.47459,0.115787
0.04,0.120075,-0.228503,-0.408666,-0.074587,0.431016,0.3398,0.288795,0.02629,-0.023042,0.097025,0.198063,0.468353,0.137647,-0.516677,0.106966,-0.08087,-0.411943,0.047124,0.39738,0.342205,0.352258,0.024018,-0.019002,0.100617,0.093661,0.496985,-0.040925,-0.475347,0.115791
0.06,0.118966,-0.22581,-0.403848,-0.072089,0.426026,0.338027,0.287692,0.029738,-0.022771,0.093838,0.197467,0.466917,0.132301,-0.518522,0.106994,-0.080807,-0.41192,0.047235,0.397359,0.34222,0.352241,0.02404,-0.018996,0.100637,0.093844,0.497016,-0.040153,-0.475648,0.115758
0.08,0.119966,-0.223812,-0.409006,-0.071174,0.428762,0.338892,0.292198,0.02589,-0.021629,0.095784,0.197442,0.462444,0.14117,-0.529816,0.107007,-0.080803,-0.412046,0.047274,0.397274,0.342145,0.35224,0.024111,-0.018996,0.100636,0.094016,0.49709,-0.041049,-0.473989,0.115751
0.1,0.1213,-0.227329,-0.409007,-0.073063,0.428535,0.342,0.288279,0.025674,-0.022288,0.096618,0.197615,0.465513,0.142916,-0.515907,0.107023,-0.080815,-0.412007,0.047228,0.397319,0.342167,0.352234,0.024121,-0.018996,0.10064,0.0939,0.497053,-0.041247,-0.474478,0.115775
0.12,0.119911,-0.228351,-0.408714,-0.074545,0.430814,0.339565,0.288675,0.026336,-0.022565,0.097036,0.198233,0.468441,0.136706,-0.516934,0.107046,-0.080823,-0.411931,0.047208,0.397344,0.342245,0.352214,0.024128,-0.018993,0.100664,0.093726,0.49703,-0.040966,-0.475246,0.11579
0.14,0.118907,-0.225641,-0.403849,-0.07215,0.426121,0.338011,0.287806,0.029553,-0.022739,0.093826,0.197218,0.466727,0.132539,-0.518872,0.107074,-0.080762,-0.411902,0.047299,0.397341,0.342281,0.352195,0.024148,-0.018986,0.100684,0.093909,0.497057,-0.040182,-0.475532,0.115757
0.16,0.119866,-0.223911,-0.408914,-0.071662,0.429008,0.339139,0.29211,0.025761,-0.021681,0.095909,0.197099,0.462737,0.140877,-0.529503,0.107086,-0.080756,-0.412082,0.047335,0.3972,0.342178,0.352196,0.024203,-0.018985,0.100682,0.094066,0.497126,-0.041147,-0.47389,0.115747
0.18,0.121258,-0.227097,-0.408778,-0.073209,0.428731,0.341983,0.288312,0.02545,-0.022511,0.096679,0.19723,0.465696,0.142702,-0.515992,0.107102,-0.080769,-0.412078,0.04716,0.397254,0.342199,0.352187,0.02421,-0.018984,0.100685,0.09394,0.497098,-0.041321,-0.474392,0.115775
