time,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,measured_left_hip_yaw,measured_left_hip_roll,measured_left_hip_pitch,measured_left_knee,measured_left_ankle,measured_neck_pitch,measured_head_pitch,measured_head_yaw,measured_head_roll,measured_right_hip_yaw,measured_right_hip_roll,measured_right_hip_pitch,measured_right_knee,measured_right_ankle,trunk_z_m
0.0,0.080701,-0.02161,-0.628545,-0.104633,0.540209,0.240116,0.279932,0.109806,0.062318,0.122615,-0.188462,0.257654,0.447618,-0.485529,-0.054227,-0.067132,-0.393162,0.213407,0.469068,0.235986,0.344307,0.01501,-0.015508,0.026636,0.088447,0.390466,0.109987,-0.274339,0.119827
0.02,0.02893,-0.161816,-0.567327,-0.300443,0.434163,0.255076,0.260856,0.071053,0.051059,0.131079,0.026234,0.241357,0.325812,-0.550565,-0.038354,-0.066007,-0.426529,0.213022,0.492762,0.230862,0.344262,0.041665,-0.004884,0.033101,0.050727,0.37514,0.127805,-0.254149,0.118759
0.04,-0.017731,-0.298057,-0.369381,-0.376644,0.334634,0.233352,0.234644,0.057513,0.046765,0.065824,0.189834,0.21838,0.095248,-0.569808,-0.022389,-0.071337,-0.462013,0.174474,0.503559,0.227536,0.344155,0.060654,0.005104,0.043739,0.019724,0.358589,0.128483,-0.244039,0.117516
0.06,0.050872,-0.230502,-0.352321,-0.331183,0.301172,0.218464,0.243004,0.004237,0.019984,0.067479,0.197309,0.26019,-0.200631,-0.50496,-0.011386,-0.08813,-0.48346,0.107966,0.497978,0.225822,0.341719,0.072661,0.01311,0.052414,0.007312,0.337894,0.107404,-0.24618,0.115965
0.08,0.091501,-0.138934,-0.330316,-0.397991,0.278956,0.228273,0.262797,-0.061962,-0.003655,0.085766,0.131096,0.274311,-0.342526,-0.491303,-0.001629,-0.103858,-0.485773,0.046505,0.489349,0.22546,0.339205,0.077453,0.019372,0.058524,0.012965,0.317745,0.066442,-0.26138,0.115661
0.1,0.020195,-0.011332,-0.359936,-0.485808,0.240763,0.285023,0.254136,-0.084045,-0.019131,0.050711,0.059647,0.283892,-0.401776,-0.524073,0.006252,-0.112681,-0.478174,0.007629,0.4722,0.224586,0.338944,0.072109,0.023077,0.065293,0.031547,0.302794,0.014802,-0.290209,0.117423
0.12,-0.022127,0.045739,-0.399718,-0.488933,0.233594,0.300894,0.269848,-0.113834,-0.034202,0.051219,0.013901,0.319014,-0.399582,-0.545522,0.01156,-0.114625,-0.468858,-0.028288,0.437966,0.224448,0.338588,0.058753,0.023306,0.070129,0.052696,0.293273,-0.046467,-0.325975,0.118958
0.14,-0.038836,0.118816,-0.425176,-0.474977,0.252609,0.286868,0.310734,-0.12335,-0.053339,0.058005,-0.024981,0.365322,-0.35395,-0.535643,0.012679,-0.108397,-0.461284,-0.063827,0.392632,0.226679,0.338438,0.039711,0.020659,0.071985,0.06976,0.290681,-0.110027,-0.364717,0.119906
0.16,-0.045228,0.180649,-0.418095,-0.453103,0.288483,0.262213,0.344931,-0.135417,-0.065398,0.052332,-0.035311,0.442847,-0.27227,-0.517526,0.010083,-0.092876,-0.455479,-0.098131,0.347505,0.230971,0.339632,0.017444,0.015005,0.072276,0.079876,0.295419,-0.16688,-0.401791,0.120251
0.18,-0.060829,0.193769,-0.374611,-0.415586,0.331463,0.246325,0.342489,-0.140216,-0.074146,0.039343,0.026581,0.519264,-0.129565,-0.483881,0.003564,-0.067053,-0.449273,-0.130948,0.313488,0.236011,0.343505,-0.005889,0.006815,0.072269,0.083102,0.309275,-0.208726,-0.433342,0.119978
0.2,-0.078921,0.018053,-0.283397,-0.327856,0.427195,0.23397,0.313947,-0.127136,-0.08348,0.018322,0.224171,0.578686,0.118529,-0.394617,-0.005216,-0.032875,-0.441068,-0.154053,0.286188,0.239387,0.349506,-0.02887,-0.002975,0.071396,0.084376,0.334156,-0.227934,-0.456406,0.11926
0.22,-0.057442,-0.226381,-0.231928,-0.111087,0.54037,0.254556,0.288814,-0.105488,-0.086614,0.028579,0.400845,0.521025,0.349176,-0.362256,-0.015511,-0.004167,-0.425861,-0.161813,0.271588,0.240551,0.355286,-0.049681,-0.013283,0.068063,0.093058,0.368756,-0.215249,-0.46632,0.118461
0.24,-0.053864,-0.207436,-0.296129,0.187105,0.547955,0.28495,0.259553,-0.051,-0.035157,0.047246,0.252326,0.436164,0.397968,-0.35703,-0.023703,0.006084,-0.402544,-0.146179,0.270924,0.240711,0.358263,-0.066686,-0.02325,0.06277,0.116982,0.405419,-0.166449,-0.464052,0.117351
0.26,-0.121967,-0.133393,-0.407936,0.284786,0.561399,0.272308,0.259914,-0.045093,0.013693,0.018857,0.276677,0.308822,0.380687,-0.299653,-0.030194,-0.001332,-0.37541,-0.101985,0.283794,0.243657,0.357128,-0.077805,-0.029963,0.057778,0.142498,0.433876,-0.095656,-0.456062,0.115808
0.28,-0.116447,-0.073523,-0.378369,0.396608,0.549081,0.21915,0.257521,0.091183,-0.010508,-0.035507,0.075546,0.321187,0.397868,-0.143902,-0.040114,-0.019304,-0.359104,-0.046659,0.313291,0.250416,0.356563,-0.084242,-0.032531,0.052612,0.152612,0.440323,-0.042418,-0.453737,0.117162
0.3,-0.071696,0.008817,-0.404536,0.42266,0.534017,0.211927,0.27099,0.152008,0.003928,-0.020375,-0.003699,0.310188,0.423438,-0.133158,-0.053473,-0.04146,-0.352617,0.01702,0.351013,0.253735,0.354115,-0.079833,-0.032641,0.045414,0.156561,0.434044,0.001484,-0.432451,0.119015
0.32,-0.006333,0.055782,-0.468595,0.392654,0.537215,0.21438,0.283695,0.160319,0.020553,0.001983,-0.044667,0.281358,0.445505,-0.222336,-0.065081,-0.059376,-0.352749,0.085228,0.388866,0.252121,0.350658,-0.061809,-0.031068,0.037256,0.153642,0.423375,0.037371,-0.385132,0.120378
0.34,0.049938,0.075171,-0.533892,0.299421,0.553748,0.218304,0.288709,0.160594,0.038097,0.01627,-0.095936,0.268268,0.455753,-0.331775,-0.069699,-0.068637,-0.36054,0.149168,0.423215,0.247595,0.347982,-0.035259,-0.027253,0.03072,0.14361,0.409184,0.069434,-0.332305,0.120992
0.36,0.068889,0.069126,-0.584273,0.127618,0.549906,0.234758,0.278631,0.142372,0.053827,0.060485,-0.17779,0.263217,0.464213,-0.43937,-0.065588,-0.06987,-0.378022,0.199009,0.453526,0.241675,0.346957,-0.005374,-0.02099,0.027107,0.125594,0.392766,0.096474,-0.287401,0.120974
0.38,0.056553,-0.013568,-0.625677,-0.12004,0.518154,0.252125,0.268533,0.088725,0.056094,0.135433,-0.170612,0.247278,0.455153,-0.497983,-0.054052,-0.066623,-0.404959,0.22413,0.479004,0.23598,0.346815,0.023357,-0.012368,0.027703,0.0978,0.375808,0.117668,-0.257858,0.120472
0.4,0.018191,-0.152481,-0.578656,-0.30302,0.417624,0.266289,0.247827,0.054856,0.047431,0.144124,0.027806,0.231908,0.345964,-0.549538,-0.038834,-0.064177,-0.439384,0.215151,0.497362,0.231767,0.346729,0.045993,-0.00257,0.035493,0.061355,0.35927,0.132699,-0.24374,0.11944
0.42,-0.011442,-0.289963,-0.40791,-0.362112,0.303239,0.245329,0.222466,0.044488,0.044755,0.076596,0.190275,0.214693,0.120615,-0.562185,-0.024565,-0.068729,-0.47476,0.170797,0.50328,0.229773,0.345723,0.060584,0.00638,0.048018,0.029586,0.342712,0.133526,-0.238048,0.118123
0.44,0.047814,-0.234391,-0.364756,-0.33128,0.286228,0.217336,0.241511,0.007425,0.025387,0.06816,0.201668,0.254937,-0.179173,-0.497265,-0.014259,-0.085086,-0.497558,0.101843,0.492968,0.229516,0.34153,0.068397,0.013405,0.057677,0.014803,0.322331,0.113166,-0.240861,0.116585
0.46,0.111444,-0.158412,-0.332229,-0.372152,0.302359,0.216617,0.263221,-0.069457,0.002267,0.092546,0.126751,0.288371,-0.322393,-0.489184,-0.004551,-0.104004,-0.502625,0.034051,0.476298,0.229554,0.336229,0.0705,0.018685,0.063764,0.018448,0.30155,0.069971,-0.252194,0.115504
0.48,0.051212,-0.028831,-0.353277,-0.461565,0.250001,0.273728,0.260874,-0.091045,-0.015868,0.061532,0.062683,0.289488,-0.384796,-0.517597,0.005607,-0.114493,-0.493967,-0.006869,0.463173,0.228706,0.335405,0.064699,0.022642,0.070354,0.035465,0.288265,0.017817,-0.278466,0.117195
0.5,0.002316,0.015937,-0.393902,-0.464843,0.221193,0.298597,0.268985,-0.117987,-0.030564,0.065152,0.018504,0.31752,-0.388657,-0.534223,0.01322,-0.118537,-0.482132,-0.041039,0.435753,0.228132,0.335243,0.050817,0.023243,0.075778,0.055333,0.281448,-0.042259,-0.313373,0.118891
0.52,-0.030804,0.109477,-0.416458,-0.468879,0.237546,0.287838,0.306243,-0.118824,-0.052391,0.064133,-0.021744,0.361982,-0.355502,-0.531943,0.016261,-0.115166,-0.470864,-0.073595,0.396354,0.229833,0.335207,0.031437,0.021141,0.078807,0.071625,0.281041,-0.104314,-0.351883,0.120067
0.54,-0.048048,0.172037,-0.422964,-0.45221,0.265282,0.267533,0.337168,-0.128247,-0.067448,0.059521,-0.039571,0.433266,-0.287302,-0.517633,0.014323,-0.102737,-0.461516,-0.104769,0.353592,0.233612,0.336315,0.00951,0.015888,0.079979,0.08144,0.287458,-0.16053,-0.389408,0.120628
0.56,-0.056396,0.198712,-0.378664,-0.43281,0.329073,0.248073,0.345979,-0.138895,-0.073195,0.039815,-0.001934,0.512734,-0.163126,-0.496948,0.008703,-0.079603,-0.453786,-0.132674,0.313285,0.237717,0.339837,-0.012745,0.007697,0.080078,0.08434,0.302845,-0.203751,-0.422153,0.120474
0.58,-0.070114,0.077857,-0.291893,-0.367599,0.418139,0.236271,0.322936,-0.133281,-0.079788,0.013633,0.157652,0.582292,0.049439,-0.430391,0.000616,-0.04667,-0.444919,-0.154216,0.281694,0.240458,0.34587,-0.034089,-0.002229,0.078818,0.084496,0.328563,-0.226566,-0.447646,0.119758
0.6,-0.061231,-0.175578,-0.232636,-0.199905,0.520734,0.249114,0.291492,-0.11782,-0.093768,0.026417,0.380965,0.547075,0.2924,-0.353322,-0.009384,-0.014008,-0.429646,-0.165566,0.267188,0.241348,0.352452,-0.053238,-0.012539,0.074649,0.089634,0.363817,-0.220765,-0.462242,0.118816
0.62,-0.046091,-0.232106,-0.265758,0.107289,0.554276,0.281413,0.264884,-0.067501,-0.055304,0.049285,0.29996,0.472233,0.400234,-0.373809,-0.018438,0.001887,-0.4069,-0.155553,0.264589,0.241383,0.356944,-0.069724,-0.022868,0.068289,0.109612,0.402613,-0.180347,-0.463262,0.117835
0.64,-0.094726,-0.14966,-0.386236,0.263225,0.563125,0.276119,0.247758,-0.036118,0.002894,0.023604,0.230809,0.342836,0.363959,-0.327675,-0.025665,-0.001536,-0.379713,-0.116629,0.272549,0.242842,0.357025,-0.08139,-0.03079,0.062442,0.137677,0.436092,-0.111162,-0.455973,0.116004
0.66,-0.115879,-0.079672,-0.378737,0.374297,0.553271,0.218982,0.254029,0.069844,-0.007998,-0.029507,0.121819,0.322742,0.389517,-0.169764,-0.034391,-0.017131,-0.360864,-0.062427,0.297839,0.248666,0.356468,-0.087523,-0.034652,0.056634,0.149138,0.4484,-0.054764,-0.454814,0.116746
0.68,-0.095452,-0.017572,-0.401183,0.409925,0.537753,0.205657,0.269485,0.142689,-0.002322,-0.03935,0.03736,0.326546,0.397694,-0.116699,-0.046715,-0.038432,-0.352044,-8.4e-05,0.334789,0.252344,0.35392,-0.084099,-0.035111,0.049009,0.153063,0.444206,-0.007679,-0.443235,0.118472
0.7,-0.022975,0.045085,-0.445035,0.402928,0.535291,0.211797,0.281589,0.162941,0.017737,-0.004096,-0.057546,0.294407,0.442165,-0.190131,-0.059574,-0.057111,-0.350897,0.067394,0.37396,0.251281,0.350227,-0.067383,-0.033966,0.039518,0.151661,0.433653,0.029738,-0.40374,0.119965
0.72,0.041633,0.076966,-0.51781,0.324567,0.552528,0.215212,0.288428,0.169896,0.037793,0.007136,-0.09442,0.279748,0.452577,-0.298663,-0.066949,-0.068357,-0.356761,0.13274,0.410362,0.246914,0.347208,-0.041112,-0.030488,0.031285,0.143176,0.419754,0.062243,-0.351496,0.120743
